Sample_name,Locus,sample_id,Hash,nReads
89,LerayXT,CLAY_13-b,10fc2c60813d20c24a2944b64f9e78767ea63846,23
89,LerayXT,CLAY_13-b,aea043a11ef9d8ae638553018a65f59ad27e0e26,22
89,LerayXT,CLAY_13-b,b740b85327dfb3b488f80ceb7214d3075a18809a,7
89,LerayXT,CLAY_13-b,7aaef47d336701fabb6396df13bfd775597ae624,8
89,LerayXT,CLAY_13-b,5846d022f4dc9c22f746488ff272c67a14358bc7,16
89,LerayXT,CLAY_13-b,75366132617ef8beb200e80031b13b2369360658,13
89,LerayXT,CLAY_13-b,7bb46879a3aada587fb4cce4b1b2e4534866065f,11
89,LerayXT,CLAY_13-b,6f678b19205730326b22e5adab907cbcb6094c66,7
89,LerayXT,CLAY_13-b,d762f12f6d9e3bef1d45c313c13d57554868b03e,9
89,LerayXT,CLAY_13-b,a235247e6dbc0a7aa49f3cd7586ad713175bc482,9
89,LerayXT,CLAY_13-b,bc0233dccc432431183fb998db8fa3e9ceda7484,9
89,LerayXT,CLAY_13-b,4050aadcf405190ac154c5400ef330597ae34958,8
89,LerayXT,CLAY_13-b,98d9f60fe8b97ad30a7821e474ce39c6d80d94a5,8
89,LerayXT,CLAY_13-b,ba1e7d7b1876caee93fe35c8cb3dbb9c3b354a6b,5
89,LerayXT,CLAY_13-b,c33cc54b7f951b444e2454a47450ec10fa0162c9,5
89,LerayXT,CLAY_13-b,13ec38332292de55bcd8f5c51c2ed8f38cb31423,4
89,LerayXT,CLAY_13-b,d196b7f673c323876fc5ca285bfbe78c17e4fd39,4
89,LerayXT,CLAY_13-b,73b4b293ef51df4786b427c102282bda5b4f0e91,4
89,LerayXT,CLAY_13-b,aa03f6cd8801395d42a3cfbaa201c90e354e4e2e,3
89,LerayXT,CLAY_13-b,923e2a5b526dfa3397510fda8b7feb1b47b43624,3
89,LerayXT,CLAY_13-b,ad6ce1abb4d75424c2d0201e4c1468f7ba64b24a,3
89,LerayXT,CLAY_13-b,74b95be62b12568a0170954ee809a63c0357a52c,3
90,LerayXT,CLAY_13-c,bcf014db0fa81110df38538d575fa91aeda4823d,65156
90,LerayXT,CLAY_13-c,6f09afda42df08e5dbcce46aaa716e3203c03cf9,20856
90,LerayXT,CLAY_13-c,b8901524ab5f9bcdfde41df2d68eff22fe3faf03,58237
90,LerayXT,CLAY_13-c,7c8cc6012464cd770e809d55131fd216ee328e75,1723
90,LerayXT,CLAY_13-c,fefde31d083db7bb12e2472389e56f7e411fc709,5871
90,LerayXT,CLAY_13-c,af16bf2f97c583b1ded277f88daace8aa697e979,619
90,LerayXT,CLAY_13-c,f036f833bbc18e08a3d645fb6450c9b9a84b0f67,46
90,LerayXT,CLAY_13-c,2f6a80aeea4509966ca4f28eec3ac6112ed6d044,48
90,LerayXT,CLAY_13-c,c7feb050b7e9a3961ace4172b6deec7763f1029a,506
90,LerayXT,CLAY_13-c,cc66291fabb2eeb03160052caa4455ac202073e2,484
90,LerayXT,CLAY_13-c,1c8b16fb8ec494e8e799132635e1a77f390454ed,57
90,LerayXT,CLAY_13-c,a05c0878740d51d2f277ef13e03ab9e99e2e5d85,438
90,LerayXT,CLAY_13-c,51342afaf0e2588e3961f2e274b235422d32ae78,304
90,LerayXT,CLAY_13-c,930c66e06e822d3b0c5070c74852c75c2657ca1d,6652
90,LerayXT,CLAY_13-c,0f436f955bbc2c28c4c6de17ce9dc95fe1030ec5,5180
90,LerayXT,CLAY_13-c,f80c71e33339c6a16bcce1ad39d1f7b6e83419b2,69
90,LerayXT,CLAY_13-c,329f47e68fdb7cbb94f925b57e576c99af6d9c5c,17
90,LerayXT,CLAY_13-c,e08a42c93ea0580e4095df457d8c8cf9384e85cb,7
90,LerayXT,CLAY_13-c,809cce9c095ef403ccfdb58eedb6a968a3c99352,9
90,LerayXT,CLAY_13-c,8dec73ded64bb331d2682c7ab1a1c992dd7ebf4c,2803
90,LerayXT,CLAY_13-c,197b31ea89b5f3c962916b4e3773b4101a2d888e,44
90,LerayXT,CLAY_13-c,b5e585c8e5e138f593919ece61a99beb39bbdcf3,1052
90,LerayXT,CLAY_13-c,1a3e2b0f0c8224ac525ca0cc6147c8dfc3a0f013,14
90,LerayXT,CLAY_13-c,78c13365e61ef4d1a875bda1d6ee63a9788ac2a8,647
90,LerayXT,CLAY_13-c,aa815a72828cb09c45cdb6c7942eb0b39d53a17a,93
90,LerayXT,CLAY_13-c,658e2d7593e76d1a9acdea4f30170f9c2c57405f,10
